Title,Date,Id,Summary,URL,ArXiv_ID,Category
On the behavior of $F$-thresholds with respect to the fibers of blow-ups and $F$-rationality,2025-11-06 18:21:57+00:00,http://arxiv.org/abs/2511.04625v1,"We establish a general inequality comparing the $F$-thresholds of a local
ring and its associated graded ring. As an application, we deduce that the
$F$-rationality of the graded ring descends to the local ring.",http://arxiv.org/pdf/2511.04625v1,2511.04625v1,AG
Torsor and Quotient Presentations for $D$-homogeneous Spectra,2025-11-06 18:19:16+00:00,http://arxiv.org/abs/2511.04624v1,"The $D$-graded Proj construction provides a general framework for
constructing schemes from rings graded by finitely generated abelian groups
$D$, yet its properties and applications remain underdeveloped compared to the
classical $\mathbb{N}$-graded case. This paper establishes the essential
characteristics of $D$-graded rings $S$, like the distinction between
$D$-homogeneous prime ideals and $D$-prime ideals if $D$ has torsion. We
particularly focus on describing the quotient by the associated group scheme,
generalizing the construction of a toric variety from its Cox ring. As in the
$\mathbb{N}$-graded construction, the basic affine opens of the Proj
construction are given in terms of degree-zero localizations $S_{(f)}$, where
$f$ in $S$ homogeneous is \emph{relevant}. We prove that $\pi_f: {\rm
Spec}(S_f) \to {\rm Spec}(S_{(f)})$ is a geometric quotient under mild
finiteness assumptions if $f$ is relevant, and give necessary and sufficient
conditions for this map to be a pseudo ${\rm Spec}(S_0[D])$-torsor.",http://arxiv.org/pdf/2511.04624v1,2511.04624v1,AG
Uniform irreducibility of Galois action on the $\ell$-primary part of Abelian $3$-folds of Picard type,2025-11-06 18:00:14+00:00,http://arxiv.org/abs/2511.04609v1,"Half a century ago Manin showed that given a number field $k$ and a rational
prime $\ell$, there exists a uniform bound for the order of cyclic $\ell$-power
isogenies between two non-CM elliptic curves over $k$. We generalize this to
certain $2$-dimensional families of abelian $3$-folds with multiplication by an
imaginary quadratic field.",http://arxiv.org/pdf/2511.04609v1,2511.04609v1,AG
Moduli space of connections on a irregular rational curve,2025-11-06 17:16:28+00:00,http://arxiv.org/abs/2511.04561v1,"We study the compactification of the moduli space of a certain class of
rank-two irregular connections on the Riemann sphere, presenting one double
pole and two simple poles. To explicitely build the compactification, we
identify a class of irregular connections with an irregular rational curve and
an extra complex parameter. As a first step, we will inspire to the Deligne and
Mumford's work to compactify the moduli space of such irregular rational
curves, introducing the notion of irregular stable nodal curve. Secondly, we
will understand the behaviour of the extra complex parameter to conclude the
compactification.",http://arxiv.org/pdf/2511.04561v1,2511.04561v1,AG
The cyclic open--closed map and variations of Hodge structures,2025-11-06 16:18:51+00:00,http://arxiv.org/abs/2511.04498v1,"We construct the cyclic open--closed map for the big (i.e., bulk-deformed)
relative Fukaya category, in the semipositive case, and show that it is a
morphism of `polarized variations of semi-infinite Hodge structures'. We also
give a natural criterion for the map to be an isomorphism, which is verified
for example in the context of Batyrev mirror pairs. We conclude in such
Calabi-Yau cases that the rational Gromov--Witten invariants can be extracted
from the relative Fukaya category, and hence that enumerative mirror symmetry
is a consequence of homological mirror symmetry for Calabi--Yau mirror pairs.",http://arxiv.org/pdf/2511.04498v1,2511.04498v1,AG
"${\mathbb Z}_{p}^{m}$-actions of type $(d;p,n)$",2025-11-06 15:33:42+00:00,http://arxiv.org/abs/2511.04462v1,"A ${\mathbb Z}_{p}^{m}$-action of type $(d;p,n)$, where $2 \leq d \leq m \leq
n$ are integers, is a pair $(S,N)$ where $S$ is a $d$-dimensional compact
complex manifold, $N \cong {\mathbb Z}_{p}^{m}$ is a group of holomorphic
automorphisms of $S$ such that the quotient orbifold $S/N$ is the
$d$-dimensional projective space ${\mathbb P}^{d}$ whose branch locus consists
of $n+1$ hyperplanes in general position, each one of branch order $p$.
  If $(d;p,n) \notin \{(2;2,5),(2;4,3)\}$ and $d+1 \leq n$, then we prove that:
(i) $N$ is a normal subgroup of ${\rm Aut}(S)$ and (ii) if $(S,M)$ is a
${\mathbb Z}_{\hat{p}}^{\hat{m}}$-action of type $(d;\hat{p},\hat{n})$, then
$M=N$. If, moreover, $d+1 \leq n \leq 2d-1$, then we observe that $S$ is not
algebraically hyperbolic",http://arxiv.org/pdf/2511.04462v1,2511.04462v1,AG
Hyperbolicity and fundamental groups of complex quasi-projective varieties (I): Maximal quasi-Albanese dimension by Nevanlinna theory,2025-11-06 14:31:26+00:00,http://arxiv.org/abs/2511.04405v1,"This is the first part of a series of three papers. In this paper, we
establish a Big Picard type theorem for holomorphic maps $f:Y \to X$, where $Y$
is a ramified covering of the punctured disc $\mathbb{D}^*$ with small
ramification and $X$ is a complex quasi-projective variety of log-general type
and of maximal quasi-Albanese dimension. As a byproduct, we prove the
generalized Green-Griffiths-Lang conjecture for such $X$. This paper summarizes
the parts of the three-paper series that are based primarily on Nevanlinna
theory.",http://arxiv.org/pdf/2511.04405v1,2511.04405v1,AG
Quantum Entanglement as a Cohomological Obstruction,2025-11-06 12:55:28+00:00,http://arxiv.org/abs/2511.04326v1,"We recast quantum entanglement as a cohomological obstruction to
reconstructing a global quantum state from locally compatible information. We
address this by considering presheaf cohomologies of states and entanglement
witnesses. Sheafification erases the global-from-local signature while leaving
within-patch multipartite structure, captured by local entanglement groups
introduced here. For smooth parameter families, the obstruction admits a
differential-geometric representative obtained by pairing an appropriate
witness field with the curvature of a natural unitary connection on the
associated bundle of amplitudes. We also introduce a Quantum Entanglement Index
(QEI) as an index-theoretic invariant of entangled states and explain its
behavior. Finally, we outline a theoretical physics approach to probe these
ideas in quantum many-body systems and suggest a possible entanglement-induced
correction as an experimental target.",http://arxiv.org/pdf/2511.04326v1,2511.04326v1,AG
Inversion of the Abel--Prym map for real curves with involutions,2025-11-06 10:03:12+00:00,http://arxiv.org/abs/2511.04229v1,"Riemann vanishing theorem is a main ingredient of the conventional technique
related to the Jacobi inversion problem. In the case of curves with a
holomorphic involution, it has been exhaustively expounded in wellknown Fay's
Lectures on theta functions. The case of real algebraic curves with involution
is presented with less completeness in the literature. We give a detailed
presentation of that case, including real curves of non-separating type (with
involution) not considered before with this relation. We obtain the
Novikov--Veselov realness conditions in a different set-up.",http://arxiv.org/pdf/2511.04229v1,2511.04229v1,AG
Schemes of Objects in Abelian Categories,2025-11-06 08:50:43+00:00,http://arxiv.org/abs/2511.04191v1,"In the article Categorical Construction of Schemes, arXiv:2511.03433 we gave
a natural definition of ordinary schemes based on the fact that the
localization of a ring in a maximal ideal is a local representation of the
corresponding function field. In this text, we replace the category of rings
with a general locally small category $\cat C$, we consider a subcategory $\cat
B\subset C$ of base-points, and assume that each $X\in\ob\cat C$ that contains
$P\in\ob\cat B,$ i.e. there is a morphism $P\rightarrow X,$ there exists a
local representing object $X_P.$ Assuming that coproducts exists, we can use
the construction of ordinary schemes to construct schemes of objects in any
such category.",http://arxiv.org/pdf/2511.04191v1,2511.04191v1,AG
