Title,Date,Id,Summary,URL,ArXiv_ID,Category
The Bailey-Zeta Transform and its Classical Limit to the Riemann Zeta Function,2025-11-04 21:20:11+00:00,http://arxiv.org/abs/2511.03009v1,"We develop a unified analytic and algebraic framework connecting the theory
of Bailey pairs with $q$-deformations of the Riemann zeta function. First, an
algebraic theorem (Bailey-Zeta transform) extends the classical Bailey lemma to
sequences weighted by a zeta-type factor $q^{sr}$. Next, we establish
rigorously that the generating function arising from the pair $\alpha_r\equiv1$
converges, under the scaling $(1-q)^s$, to $\zeta(s)$ as $q\to1^-$. A
$q$-analogue of the Euler--Mascheroni constant naturally emerges from this
framework, and its limit is shown to recover $\gamma$. The approach highlights
a deep correspondence between combinatorial $q$-series identities and analytic
number theory.",http://arxiv.org/pdf/2511.03009v1,2511.03009v1,GM
Some smooth divergences for $\ell_{1}-$approximations,2025-10-31 19:32:00+00:00,http://arxiv.org/abs/2511.00219v1,"For some smooth special case of generalized $\varphi-$divergences as well as
of new divergences (called scaled shift divergences), we derive approximations
of the omnipresent (weighted) $\ell_{1}-$distance and (weighted)
$\ell_{1}-$norm.",http://arxiv.org/pdf/2511.00219v1,2511.00219v1,GM
The Lah Numbers with Higher Level and the Lah Numbers of Order s,2025-10-30 08:46:08+00:00,http://arxiv.org/abs/2510.26842v1,"In this paper we introduce and study two generalizations of Lah numbers,
analogous to the Stirling numbers with higher level - a combinatorial one (Lah
numbers with higher level) and an algebraic one (Lah numbers of order $s$). We
define the Lah numbers with higher level following a combinatorial approach and
the Lah numbers of order $s$ following an algebraic approach. We prove a direct
connection between the Lah numbers with higher level and the $(l,r)$-Lah
numbers. Some properties of the Lah numbers of order $s$ and Lah polynomials of
order $s$ are given. Finally, we prove connections between these two
generalizations.",http://arxiv.org/pdf/2510.26842v1,2510.26842v1,GM
Parametric proofs of the Pythagorean theorem via ziggurats and pyramids,2025-10-30 01:41:33+00:00,http://arxiv.org/abs/2511.00089v1,"We propose two new proofs of the Pythagorean theorem via area rearrangement
arguments starting from very simple geometric configurations. The constructions
depend on an angular parameter, each choice of which yields a proof. For
specific values of the parameter, we recover some classical and more recent
proofs.",http://arxiv.org/pdf/2511.00089v1,2511.00089v1,GM
Using Simple Linear Models with Truncation to Determine the Gregorian Day of the Week,2025-10-29 19:56:18+00:00,http://arxiv.org/abs/2511.00082v2,"The Gregorian calendar -- first established for daily use on Friday, October
15th, 1582 by Pope Gregory XIII in Catholic countries -- is presently the most
pervasive calendar in the world. As such, algorithms for performing various
calendrical computations in accurate, performant, and easily implementable ways
are extremely useful in fields like software engineering. In this paper, we
present a novel algorithm for determining the day of the week for any date in
the Gregorian calendar. Of note, our algorithm does not rely on remembering
tables of values. Instead, we encode tables needed for computation using simple
linear regression with truncation to adjust for any errors present in our
linear models in such a way that no tables have to be recalled. In addition,
our algorithm does not require a relabeling of days, weeks, months, or years to
values other than their intuitive representations. The algorithm works by
taking a date in the Gregorian calendar, calculating the number of days
(accounting for leap years using simple linear regression with truncation) that
have elapsed since the epoch of the Gregorian calendar in 1582 from the
specified date and adding this number modulo 7 to the epoch's day of the week
thus, obtaining the day of the week for the requested date in numeric form.",http://arxiv.org/pdf/2511.00082v2,2511.00082v2,GM
On a power series distribution with mean parameterization,2025-10-29 09:30:25+00:00,http://arxiv.org/abs/2511.00069v1,"The article examines the distribution of the power series of the function $
w(y) = \left( 1 + \sqrt{1 - y} \right)^{-\frac{1}{2}}. $ The distribution of
the considered function into a power series is obtained $ \left(1 + \sqrt{1 -
y}\right)^{-\frac{1}{2}} = \sum_{m=0}^{\infty} \frac{(4m)! \, 16^{-m}}{(2m)! \,
(2m+1)! \, \sqrt{2}} \, y^m. $ The dispersion function is found $ \nu(x) = x
(2x + 1)(4x + 1), \; x > 0. $ A distribution with mean parameterization is
constructed $ \Pr(\xi = k) = \binom{4k + 1}{2k} \, 2^{-k} \, x^k \, (2k + 1)^{k
+ \frac{1}{2}} \, (4k + 1)^{-2k - \frac{3}{2}}, \; x > 0. $ It is proved that
the raw moments $\alpha_m$, central moments $\mu_m$, cumulants $\chi_m, \; m =
1, 2, \ldots$ satisfy the following recurrence relations: $ \alpha_{m+1} = x
\alpha_m + \nu(x) \frac{d\alpha_m}{dx}, \; \alpha_0 = 1, \; \alpha_1 = x; \quad
\mu_{m+1} = m \mu_{m-1} + \nu(x) \frac{d\mu_m}{dx}, \; \mu_0 = 1, \; \mu_1 = 0;
\quad \chi_{m+1} = \nu(x) \frac{d\chi_m}{dx}, \; \chi_1 = x. $",http://arxiv.org/pdf/2511.00069v1,2511.00069v1,GM
Transient waves in linear dispersive media with dissipation: an approach based on the steepest descent path,2025-10-28 07:48:42+00:00,http://arxiv.org/abs/2511.00045v1,"In the study of linear dispersive media it is of primary interest to gain
knowledge of the impulse response of the material. The standard approach to
compute the response involves a Laplace transform inversion, i.e., the solution
of a Bromwich integral, which can be a notoriously troublesome problem. In this
paper we propose a novel approach to the calculation of the impulse response,
based on the well assessed method of the steepest descent path, which results
in the replacement of the Bromwich integral with a real line integral along the
steepest descent path. In this exploratory investigation, the method is
explained and applied to the case study of the Klein- Gordon equation with
dissipation, for which analytical solutions of the Bromwich integral are
available, as to compare the numerical solutions obtained by the newly proposed
method to exact ones. Since the newly proposed method, at its core, consists in
replacing a Laplace transform inverse with a potentially much less demanding
real line integral, the method presented here could be of general interest in
the study of linear dispersive waves in presence of dissipation, as well as in
other fields in which Laplace transform inversion come into play.",http://arxiv.org/pdf/2511.00045v1,2511.00045v1,GM
Exact Solutions for Classes of Nonlinear Differential Equations on Fractal Supports,2025-10-27 17:26:39+00:00,http://arxiv.org/abs/2511.00036v1,"In this paper, the exact solutions of certain non-linear differential
equations defined on a fractal subset of the real line are presented.
Particular attention is paid to the Riccati-type fractal differential equation,
for which a connection with the Schrodinger equation is also provided.",http://arxiv.org/pdf/2511.00036v1,2511.00036v1,GM
A Sieve on Rational Imbalances and the First Appearance of Denominators,2025-10-26 11:41:11+00:00,http://arxiv.org/abs/2510.22635v1,"We construct a sieve that enumerates rational ``imbalances'' of the form
$(p-q)/(p+q)$ for integers $p\ge2$ and $1\le q<p$, ordered lexicographically by
$(p,q)$. Each imbalance is reduced to lowest terms, and we record the sequence
of distinct denominators as they first appear.
  We show that every positive integer occurs exactly once as such a
denominator, and that its first appearance coincides with the unit fraction
$1/d$.
  We then prove that the sieve, when viewed as a map from pairs $(p,q)$ to
reduced fractions, enumerates all rational numbers in $(-1,1)$ without
repetition, extend it symmetrically to all of $\mathbb{Q}$, and discuss its
connections to hyperbolic geometry and rational enumeration theory.",http://arxiv.org/pdf/2510.22635v1,2510.22635v1,GM
Sine Laws with an Anti-Automorphism: A Left-Translation Approach,2025-10-23 09:48:20+00:00,http://arxiv.org/abs/2511.00019v2,"Stetk\ae r's matrix method is a useful tool for analyzing functional
equations on semigroups involving a homomorphism $\sigma$. However, this method
fails when $\sigma$ is an anti-automorphism because the underlying
right-regular representation reverses composition order. To resolve this, we
introduce a new approach based on a key conjugation identity. Let $J$ denote
the operator of composition with $\sigma$; then the identity $J R(\sigma(y)) J
= L(y)$ provides the foundation for our method. This identity restores a
well-behaved representation via left translations, making the matrix method
applicable again. This left-translation approach is illustrated with several
concrete examples from matrix groups and symmetric groups. Using this approach,
we extend Stetk\ae r's main structural theorem for the generalized sine law to
the anti-automorphic setting. For linearly independent solutions, we show that
the equation implies a simpler addition law and that the solutions obey the
same transformation rules ($f\circ\sigma=\beta f$, etc.) as in the homomorphic
case.",http://arxiv.org/pdf/2511.00019v2,2511.00019v2,GM
