Title,Date,Id,Summary,URL,ArXiv_ID,Category
The Difference Subgroup Graph of a Finite Group,2025-11-06 14:39:19+00:00,http://arxiv.org/abs/2511.04411v1,"The \emph{difference subgroup graph} $D(G)$ of a finite group $G$ is defined
as the graph whose vertices are the non-trivial proper subgroups of $G$, with
two distinct vertices $H$ and $K$ adjacent if and only if $\langle H, K \rangle
= G$ but $HK \ne G$. This graph arises naturally as the difference between the
join graph $\Delta(G)$ and the comaximal subgroup graph $\Gamma(G)$. In this
paper, we initiate a systematic study of $D(G)$ and its reduced version
$D^*(G)$, obtained by removing isolated vertices.
  We establish several fundamental structural properties of these graphs,
including conditions for connectivity, forbidden subgraph characterizations,
and the relationship between graph parameters - such as independence number,
clique number, and girth - and the solvability or nilpotency of the underlying
group.
  The paper concludes with a discussion of open problems and potential
directions for future research.",http://arxiv.org/pdf/2511.04411v1,2511.04411v1,GR
Dynamics of Word Maps on Groups and Polynomial Maps on Algebras,2025-11-06 14:01:57+00:00,http://arxiv.org/abs/2511.04377v1,"We introduce the notions of Fatou and Julia sets in the context of word maps
on complex Lie groups and polynomial maps on finite-dimensional associative
$\mathbb C$-algebras. For the group-theoretic question, we investigate the
dynamics of the power map $x \mapsto x^{M}$ on the Lie group
$\mathrm{GL}_n(\mathbb C)$, where $M \geq 2$ is an integer. For the
algebra-related question, we study polynomial self-maps of
$\mathrm{M}_n(\mathbb C)$ induced by monic one-variable polynomials. In both
cases, we pin down the explicit description of the Fatou and Julia sets. We
also show that there does not exist any wandering Fatou component of the pair
$(p,\mathrm{M}_n(\mathbb C))$ where $p\in\mathbb C[z]$ is a monic polynomial of
degree $\geq 2$.",http://arxiv.org/pdf/2511.04377v1,2511.04377v1,GR
Character Theory for Semilinear Representations,2025-11-06 11:48:54+00:00,http://arxiv.org/abs/2511.04296v1,"Let $G$ be a group acting on a field $L$, and suppose that $L /K$ is a finite
Galois extension, where $K = L^G$. We show that the irreducible semilinear
representations of $G$ over $L$ can be completely described in terms of
irreducible linear representations of $H$, the kernel of $G \rightarrow
\mathrm{Gal}(L/K)$. When $G$ is finite and $|G| \in L^{\times}$ this provides a
character theory for semilinear representations of $G$ over $L$, which recovers
ordinary character theory when the action of $G$ on $L$ is trivial.",http://arxiv.org/pdf/2511.04296v1,2511.04296v1,GR
The CLT for lamplighter groups with an acylindrically hyperbolic base,2025-11-06 10:27:12+00:00,http://arxiv.org/abs/2511.04241v1,"We prove a Central Limit Theorem for the drift of a non-elementary random
walk with a finite exponential moment on a wreath product $A\wr H=\bigoplus_{H}
A\rtimes H$ with $A$ a non-trivial finite group and $H$ a finitely generated
acylindrically hyperbolic group. We also provide the upper bounds on the
central moments of the drift. Furthermore, our results extend to the case where
$A$ is an arbitrary (possibly infinite) finitely generated group.",http://arxiv.org/pdf/2511.04241v1,2511.04241v1,GR
Automorphism Groups and Structure of 4-Valent Cayley Graphs on Dihedral Groups,2025-11-06 07:56:43+00:00,http://arxiv.org/abs/2511.04151v1,"Let G be a finite group and S be an inverse-closed subset of G not containing
the identity. The Cayley graph Cay(G, S) has vertex set G, where two vertices x
and y are adjacent if and only if the group element obtained by applying the
group operation to x and the inverse of y belongs to S. Kaseasbeh and Erfanian
(2021) determined the structure of all Cayley graphs on the dihedral group of
order 2n for subsets S of size at most three. We extend their work by analyzing
the structure of all such Cayley graphs for subsets S of size four. Among other
results, our main results are as follows for subsets S of size at least four:
(1) using a classical result of Burnside and Schur (1911), we determine the
automorphism groups of a family of Cayley graphs where S contains only
rotations; (2) if S consists only of rotations, then the Cayley graph is the
disjoint union of two isomorphic circulant graphs on n vertices; and (3) if S
is a set of k reflections generating the dihedral group, then the Cayley graph
is bipartite, forming the disjoint union of k perfect matchings.",http://arxiv.org/pdf/2511.04151v1,2511.04151v1,GR
Dynamics of actions of automorphisms on the space of one-parameter subgroups of a torus and applications,2025-11-06 06:51:31+00:00,http://arxiv.org/abs/2511.04111v1,"For a connected Lie group $G$, we study the dynamics of actions of
automorphisms of $G$ on certain compact invariant subspaces of closed subgroups
of $G$ in terms of distality and expansivity. We show that only the finite
order automorphisms of $G$ act distally on Sub$^p_G$, the smallest compact
space containing all closed one-parameter subgroups of $G$, when $G$ is any
$n$-torus, $n\in\mathbb{N}$. This enables us to relate distality of the
$T$-action on Sub$^p_G$ with that of the $T$-action on $G$ and characterise the
same in terms of compactness of closed subgroups generate by $T$ in the group
Aut$(G)$, in case $G$ is not a vector group. We also extend these results to
the action of subgroups of automorphisms. We show that any $n$-torus $G$,
$n\geq 2$, more generally, any connected Lie group $G$ whose central torus has
dimension at least 2, does not admit any automorphism which acts expansively on
Sub$^p_G$. Our results generalise some results on distal actions by Shah and
Yadav, and by Chatterjee and Shah, and some results on expansive actions by
Prajapati and Shah.",http://arxiv.org/pdf/2511.04111v1,2511.04111v1,GR
"On a lemma of Milnor and Schwarz, après Rosendal",2025-11-05 22:28:58+00:00,http://arxiv.org/abs/2511.03887v1,"Perhaps the fundamental theorem of geometric group theory, the
Milnor--Schwarz lemma gives conditions under which the orbit map relating the
geometry of a geodesic metric space and the word metric on a group acting
isometrically on the space is a quasi-isometry.
  Pioneering work of Rosendal makes these and other techniques of geometric
group theory applicable to an arbitrary (topological) group. We give a succinct
treatment of the Milnor--Schwarz lemma, setting it within this context. We
derive some applications of this theory to non-Archimedean groups, which have
plentiful continuous actions on graphs. In particular, we sharpen results of
BarNatan and Verberne on actions of ""big"" mapping class groups on hyperbolic
graphs and clarify a project begun by Mann and Rafi to classify these mapping
class groups up to quasi-isometry, noting some extensions to the theory of
mapping class groups of locally finite infinite graphs and homeomorphism groups
of Stone spaces.",http://arxiv.org/pdf/2511.03887v1,2511.03887v1,GR
A note on co-Hopfian groups and rings,2025-11-05 14:37:33+00:00,http://arxiv.org/abs/2511.03505v1,"Let $p$ and $n$ be positive integers. Assume additionally that $p\neq 3$ is a
prime and that $n>2$. Let $R$ be a field of characteristic $p$. A very special
consequence of a result of Bunina and Kunyavskii (2023, arXiv:2308.10076) is
that $SL_{n}(R)$ is co-Hopfian as a group if and only if $R$ is co-Hopfian as a
ring. In this paper, we prove that if $k$ is the algebraic closure of the $2$
element field, then $SL_{2}(k)$ is a co-Hopfian group. Since this $k$ is
trivially seen to be co-Hopfian as a ring our result somewhat extends that of
Bunina and Kunyavskii. We apply our result to prove that the class of groups
satisfying Turner's Retract Theorem (called Turner groups here) is not closed
under elementary equivalence thereby answering a question posed by the authors
in (2017, Comm. Algebra).",http://arxiv.org/pdf/2511.03505v1,2511.03505v1,GR
On metacyclic p-group codes,2025-11-05 12:47:52+00:00,http://arxiv.org/abs/2511.03429v1,"In this article, we study the metacyclic p-group codes arising from finite
semisimple group algebras. In [CM25], we studied group codes arising from
metacyclic groups with order divisible by two distinct odd primes. In the
current work, we focus on metacyclic p-group codes, as a result of which we are
also able to extend the results of [CM25] for metacyclic groups with order
divisible by any two primes, not necessarily odd or distinct. Consequently,
existing results on group algebras of some important classes of groups,
including dihedral and quaternion groups, have been extended. Additionally, we
provide left codes for the undertaken group algebras. Finally, we construct
non-central codes using units motivated by Bass and bicyclic units, which are
inequivalent to any abelian group codes and yield best known parameters.",http://arxiv.org/pdf/2511.03429v1,2511.03429v1,GR
"A partial order on the 240 packings of PG(3,2)",2025-11-04 22:29:58+00:00,http://arxiv.org/abs/2511.03040v1,"It has long been known that the most symmetrical solutions of Kirkman's
Schoolgirl Problem can be constructed from the $240$ packings of the projective
space $PG(3, 2)$, but it seems to have escaped notice that these packings have
the structure of a partially ordered set. In this paper, we construct a
shellable Bruhat-like graded partial order on the packings of $PG(3, 2)$ that
refines the partial order on the product of four chains
$[8]\times[5]\times[3]\times[2]$ and defines a Lehmer code on the packings. The
partial order exists because the packings of $PG(3, 2)$ form a quasiparabolic
set (in the sense of Rains--Vazirani) that is in bijective correspondence with
a certain collection of maximal orthogonal subsets of the $E_8$ root system.
The $E_8$ construction also induces transitive actions of the Weyl groups of
type $D_n$ on the packings for $5 \leq n \leq 8$, and these actions are
faithful for $n < 8$. It is possible to define both the signed permutation
action and the partial order using the combinatorics of labelled Fano planes.",http://arxiv.org/pdf/2511.03040v1,2511.03040v1,GR
