Title,Date,Id,Summary,URL,ArXiv_ID,Category
Uniform irreducibility of Galois action on the $\ell$-primary part of Abelian $3$-folds of Picard type,2025-11-06 18:00:14+00:00,http://arxiv.org/abs/2511.04609v1,"Half a century ago Manin showed that given a number field $k$ and a rational
prime $\ell$, there exists a uniform bound for the order of cyclic $\ell$-power
isogenies between two non-CM elliptic curves over $k$. We generalize this to
certain $2$-dimensional families of abelian $3$-folds with multiplication by an
imaginary quadratic field.",http://arxiv.org/pdf/2511.04609v1,2511.04609v1,NT
Smooth sums with small spacings,2025-11-06 17:42:34+00:00,http://arxiv.org/abs/2511.04585v1,"Solving a problem by Erd\H{o}s, we prove that every positive integer $n$ can
be written as a sum $$n = b_{1} + b_{2} + \ldots + b_{r}$$ of distinct
$3$-smooth integers with $1 \le b_{1} < b_{2} < \ldots < b_{r} < 6b_{1}$.",http://arxiv.org/pdf/2511.04585v1,2511.04585v1,NT
Class groups of imaginary biquadratic fields,2025-11-06 16:44:17+00:00,http://arxiv.org/abs/2511.04529v1,"We present two distinct families of imaginary biquadratic fields, each of
which contains infinitely many members, with each member having large class
groups. Construction of the first family involves elliptic curves and their
quadratic twists, whereas to find the other family, we use a combination of
elliptic and hyperelliptic curves. Two main results are used, one from Soleng
and the other from Banerjee and Hoque.",http://arxiv.org/pdf/2511.04529v1,2511.04529v1,NT
Character Theory for Semilinear Representations,2025-11-06 11:48:54+00:00,http://arxiv.org/abs/2511.04296v1,"Let $G$ be a group acting on a field $L$, and suppose that $L /K$ is a finite
Galois extension, where $K = L^G$. We show that the irreducible semilinear
representations of $G$ over $L$ can be completely described in terms of
irreducible linear representations of $H$, the kernel of $G \rightarrow
\mathrm{Gal}(L/K)$. When $G$ is finite and $|G| \in L^{\times}$ this provides a
character theory for semilinear representations of $G$ over $L$, which recovers
ordinary character theory when the action of $G$ on $L$ is trivial.",http://arxiv.org/pdf/2511.04296v1,2511.04296v1,NT
A random polynomial with multiplicative coefficients is almost surely irreducible,2025-11-06 10:26:11+00:00,http://arxiv.org/abs/2511.04240v1,"Assume that the Riemann hypothesis holds for Dedekind zeta functions. Under
this assumption, we prove that a degree $d$ polynomial with random
multiplicative $\pm1$ coefficients is irreducible in $\mathbb{Z}[x]$ with
probability $1-O(d^{-1/2+\varepsilon})$.",http://arxiv.org/pdf/2511.04240v1,2511.04240v1,NT
Zeros of special polynomials and their impact on a class of APN functions,2025-11-06 08:52:52+00:00,http://arxiv.org/abs/2511.04193v1,"In 2021, Calderini et al. introduced a construction for APN functions on
$\mathbb{F}_{2^{2m}}$ in bivariate form $$ f(x,y)=\big(xy,\, x^{2^r+1} +
x^{2^{r+m/2}} y^{2^{m/2}} + bxy^{2^r} + cy^{2^r+1}\big),\quad r < m/2,\quad
\gcd(r, m) = 1. $$ They showed that this family exists provided the existence
of a polynomial $$ P_{c,b}(X)=(cX^{2^r +1} + b
X^{2^r}+1)^{2^{m/2}+1}+X^{2^{m/2}+1}, $$ with no zeros in
$\mathbb{F}_{2^{2m}}$. For $m\le 6$ it was shown that we can have APN functions
belonging to this family. However, up to now, no construction of such
polynomials is known for $m\ge 8$. In this work we provide a non-existence
result of such functions whenever $r<m/8-1$, by application of techniques from
algebraic varieties over finite fields. In particular, for $r=1$ we have that
the construction of Calderini et al. cannot provide an APN function for $m\ge
8$.",http://arxiv.org/pdf/2511.04193v1,2511.04193v1,NT
Kummer-faithfulness over $p$-adic fields,2025-11-06 08:43:05+00:00,http://arxiv.org/abs/2511.04186v1,"The notion of a Kummer-faithful field, defined by Mochizuki, is expected as
one of suitable base fields for anabelian geometry. In this paper, we study
Kummer-faithfulness for algebraic extension fields of $p$-adic fields. We show
that Kummer-faithfulness for such fields are deeply related with various
finiteness properties on torsion points of (semi-)abelian varieties. For
example, a Galois extension $K$ of a $p$-adic field is Kummer-faithful with
finite residue field if and only if, for any finite extension $L$ of $K$ and
any abelian variety over $L$,its $L$-rational torsion subgroup is finite. In
addition, we study Kummer-faithfulness for Lubin-Tate extension fields.",http://arxiv.org/pdf/2511.04186v1,2511.04186v1,NT
Prime detecting quasi-modular forms in higher level,2025-11-06 03:56:50+00:00,http://arxiv.org/abs/2511.04030v1,"In a previous work, the authors resolved a conjecture about the structure of
prime-detecting quasi-modular forms by studying sign changes occurring in
quasi-modular cusp forms. In this paper, we extend the considerations to
prime-detecting quasi-modular forms of higher level, in particular describing
the structure of the space of quasi-modular forms that detect primes in various
arithmetic progressions. We also provide an ``analytic'' proof of the level one
case.",http://arxiv.org/pdf/2511.04030v1,2511.04030v1,NT
An orthogonal perspective on Gauss composition,2025-11-06 02:17:47+00:00,http://arxiv.org/abs/2511.03987v1,"We revisit Gauss composition over a general base scheme, with a focus on
orthogonal groups. We show that the Clifford and norm functors provide a
discriminant-preserving equivalence of categories between binary quadratic
modules and pseudoregular modules over quadratic algebras. This perspective
synthesizes the constructions of Kneser and Wood, reconciling algebraic and
geometric approaches and clarifying the role of orientations and the natural
emergence of narrow class groups. As an application, we restrict to lattices
and show that binary orthogonal eigenforms correspond to Hecke characters.",http://arxiv.org/pdf/2511.03987v1,2511.03987v1,NT
On Euler's Theorem,2025-11-06 02:07:14+00:00,http://arxiv.org/abs/2511.03979v1,"Euler's theorem asserts that $A(n)=B(n)$ where $A(n)$ is the number of
partitions of $n$ into distinct parts and $B(n)$ is the number of partitions of
$n$ into odd parts. In this paper, it is proved that for $n>0$, \begin{align*}
A(n)=B(n)=C(n+1)=\frac{1}{2}D(n+1), \end{align*} where $C(n)$ is the number of
partitions of $n$ with largest part even and parts not exceeding half of the
largest part are distinct, and $D(n)$ is the number of partitions of $n$ into
non-negative parts wherein the smallest part appear exactly twice and no other
parts are repeated.",http://arxiv.org/pdf/2511.03979v1,2511.03979v1,NT
