Title,Date,Id,Summary,URL,ArXiv_ID,Category
Dynamics of Word Maps on Groups and Polynomial Maps on Algebras,2025-11-06 14:01:57+00:00,http://arxiv.org/abs/2511.04377v1,"We introduce the notions of Fatou and Julia sets in the context of word maps
on complex Lie groups and polynomial maps on finite-dimensional associative
$\mathbb C$-algebras. For the group-theoretic question, we investigate the
dynamics of the power map $x \mapsto x^{M}$ on the Lie group
$\mathrm{GL}_n(\mathbb C)$, where $M \geq 2$ is an integer. For the
algebra-related question, we study polynomial self-maps of
$\mathrm{M}_n(\mathbb C)$ induced by monic one-variable polynomials. In both
cases, we pin down the explicit description of the Fatou and Julia sets. We
also show that there does not exist any wandering Fatou component of the pair
$(p,\mathrm{M}_n(\mathbb C))$ where $p\in\mathbb C[z]$ is a monic polynomial of
degree $\geq 2$.",http://arxiv.org/pdf/2511.04377v1,2511.04377v1,RA
Amitsur--Small Extensions and a Skew Amitsur--Small Theorem,2025-11-06 11:42:38+00:00,http://arxiv.org/abs/2511.04295v1,"We introduce the notion of Amitsur--Small extensions to generalize a key
lemma underlying the Amitsur--Small Theorem to the skew setting. Building on
this framework, we establish a skew version of the Amitsur--Small Theorem.",http://arxiv.org/pdf/2511.04295v1,2511.04295v1,RA
"$(n,d)$-injective and $(n,d)$-flat modules under a special semidualizing bimodule",2025-11-06 03:57:29+00:00,http://arxiv.org/abs/2511.04031v1,"Let $S$ and $R$ be rings, $n, d\geq 0$ be two integers or $n=\infty$. In this
paper, first we introduce special (faithfully) semidualizing bimodule
$_S(K_{d-1})_R$, and then introduce and study the concepts of
$K_{d-1}$-$(n,d)$-injective (resp. $K_{d-1}$-$(n,d)$-flat) modules as a common
generalization of some known modules such as $C$-injective, $C$-weak injective
and $C$-$FP_n$-injective (resp. $C$-flat, $C$-weak flat and $C$-$FP_n$-flat)
modules. Then we obtain some characterizations of two classes of these modules,
namely $\mathcal{I}_{K_{d-1}}^{(n,d)}(R)$ and
$\mathcal{F}_{K_{d-1}}^{(n,d)}(S)$. We show that the cleasses
$\mathcal{I}_{K_{d-1}}^{(n,d)}(R)$ and $\mathcal{F}_{K_{d-1}}^{(n,d)}(S)$ are
covering and preenveloping. Also, we investigate Foxby equivalence relative to
the classes of this modules. Finally over $n$-coherent rings, we prove that the
classes $\mathcal{I}_{ K_{d-1}}^{(n,d)}(R)_{<\infty}$ and $\mathcal{F}_{
K_{d-1}}^{(n,d)}(S)_{<\infty}$ are closed under extentions, kernels of
epimorphisms and cokernels of monomorphisms.
  Keywords: $K_{d-1}$-$(n,d)$-injective module; $K_{d-1}$-$(n,d)$-flat module;
Foxby equivalence; special semidualizing bimodule.",http://arxiv.org/pdf/2511.04031v1,2511.04031v1,RA
An orthogonal perspective on Gauss composition,2025-11-06 02:17:47+00:00,http://arxiv.org/abs/2511.03987v1,"We revisit Gauss composition over a general base scheme, with a focus on
orthogonal groups. We show that the Clifford and norm functors provide a
discriminant-preserving equivalence of categories between binary quadratic
modules and pseudoregular modules over quadratic algebras. This perspective
synthesizes the constructions of Kneser and Wood, reconciling algebraic and
geometric approaches and clarifying the role of orientations and the natural
emergence of narrow class groups. As an application, we restrict to lattices
and show that binary orthogonal eigenforms correspond to Hecke characters.",http://arxiv.org/pdf/2511.03987v1,2511.03987v1,RA
"Boundary-Localized Commutators and Cohomology of Shift Algebras on the Half-Lattice: Structure, Representations, and Extensions",2025-11-06 00:05:03+00:00,http://arxiv.org/abs/2511.03927v1,"We study the boundary-localized Lie algebra generated by the rank-one
perturbation \(T = U + \varepsilon E\) of the unilateral shift on
\(\ell^2(\mathbb{Z}_{\ge\ 0})\). While the polynomial algebra \(\langle T
\rangle\) is abelian, the enlarged algebra \(\mathcal{A} = \mathrm{span}\{U^a E
U^b, U^n\}\) exhibits finite--rank commutators confined to a finite
neighborhood of the boundary. We construct explicit site-localized 2-cocycles
\(\omega_j(X,Y) = \langle e_j, [X,Y] e_j \rangle\) and prove they form a basis
of \(H^2(\mathcal{A},\mathbb{C})\). Quantitative bounds and finite-dimensional
models confirm a sharp bulk-edge dichotomy. The framework provides a rigorous
Lie-algebraic model for edge phenomena in discrete quantum systems-without
violating the Jacobi identity.",http://arxiv.org/pdf/2511.03927v1,2511.03927v1,RA
A topological approach to discrete restriction semigroups and their algebras,2025-11-05 21:27:37+00:00,http://arxiv.org/abs/2511.03869v1,"We introduce a general framework, based on \'etale topological categories,
for studying discrete restriction semigroups and their algebras. Generalizing
Paterson's universal groupoid of an inverse semigroup, we define the universal
category ${\mathscr C}(S)$ of a restriction semigroup $S$ with local units as
the category of germs of the spectral action of $S$ on the character space of
its projection semilattice. This is an \'etale topological category, meaning
that its domain map is a local homeomorphism, while its range map is only
required to be continuous. We show that $S$ embeds into the universal Boolean
restriction semigroup of compact slices of ${\mathscr C}(S)$ and apply this
embedding to establish the following results:
  - a topological version of the ESN-type theorem for restriction semigroups by
Gould and Hollings;
  - an extension to restriction semigroups of the Petrich-Reilly structure
theorem for $E$-unitary inverse semigroups in terms of partial actions;
  - an isomorphism between the semigroup algebra of a restriction semigroup $S$
with local units and the convolution algebra of the universal category
${\mathscr C}(S)$, extending the seminal result by Steinberg.
  The paper is inspired by the work of Cockett and Garner and builds upon the
earlier research of the author. It shows that the theory of restriction
semigroups can be developed much further than was previously thought, as a
natural extension of the inverse semigroup theory.",http://arxiv.org/pdf/2511.03869v1,2511.03869v1,RA
Jacobi identities for Wronskian determinants over multidimension,2025-11-05 20:31:13+00:00,http://arxiv.org/abs/2511.03848v1,"The generalised Wronskian of differential order $k\geqslant 1$ for $N$
functions $f_1$, $\ldots$, $f_N$ in $d\geqslant 1$ independent variables $x^1$,
$\ldots$, $x^d$ is the determinant of the matrix with these functions'
derivatives $\partial^{|\sigma_i|} f_j / \partial (x^1)^{\sigma_i^1}\cdots
\partial (x^d)^{\sigma_i^d}$ (of orders $0 \leqslant |\sigma_i| \leqslant k$),
where the multi-indices $\sigma_i$ mark (all or part of) fibre variables
$u_{\sigma_i}$ in the $k$th jet space
$J^k\bigl(\mathbb{R}^d\to\mathbb{R}\bigr)$. We prove that these (in)complete
Wronskians -- provided that their lowest-order parts are complete at
differential orders $\ell\leqslant 1$ -- over the $d$-dimensional base satisfy
the table of bi-linear, Jacobi-type identities for Schlessinger--Stasheff's
strongly homotopy Lie algebras.",http://arxiv.org/pdf/2511.03848v1,2511.03848v1,RA
Polynomial identities for quivers via incidence algebras,2025-11-05 15:06:55+00:00,http://arxiv.org/abs/2511.03536v1,"We show that the path algebra of a quiver satisfies the same polynomial
identities of an algebra of matrices, if any. In particular, the algebra of nxn
matrices is PI-equivalent to the path algebra of the oriented cycle with n
vertices.",http://arxiv.org/pdf/2511.03536v1,2511.03536v1,RA
Lie $n$-centralizers of von Neumann algebras,2025-11-05 14:56:47+00:00,http://arxiv.org/abs/2511.03523v1,"Let $\U$ be a von Neumann algebra with a projection $P\in \U$. For any
$A_1,A_2,\ldots,A_n\in\U,$ define $p_1(A_1)=A_1,$ $p_n
(A_1,A_2,\ldots,A_n)=[p_{n-1} (A_1,A_2,\ldots,A_{n-1}),A_n]$ for all integers
$n\geq 2,$ where $[A,B]=AB-BA$ $(A,B\in\U)$ denotes the usual Lie product.
Assume that $\phi:\U\to\U$ is an additive mapping satisfying \[\phi(p_n(A_1,
A_2, \ldots, A_n)) = p_n(\phi(A_1), A_2, \ldots, A_n) = p_n(A_1, \phi(A_2),
\ldots, A_n) \] for all $A_1, A_2, \ldots, A_n \in \U$ with $A_1A_2=P$ In this
article, it is shown that the map $\phi$ is of the form $\phi(A)=WA+\xi(A)$ for
all $A\in \U$, where $W\in \mathrm{Z}(\U)$, and $\xi:\U \to \Z(\U)$ ($\Z(\U)$
is the center of $\U$) is an additive map such that $\xi(p_n(A_1, A_2, \ldots,
A_n) )=0$ for any $A_1, A_2, \ldots, A_n \in \U$ with $A_1A_2=P$. As an
application, we characterize generalized Lie $n$-derivations on arbitrary von
Neumann algebras.",http://arxiv.org/pdf/2511.03523v1,2511.03523v1,RA
On metacyclic p-group codes,2025-11-05 12:47:52+00:00,http://arxiv.org/abs/2511.03429v1,"In this article, we study the metacyclic p-group codes arising from finite
semisimple group algebras. In [CM25], we studied group codes arising from
metacyclic groups with order divisible by two distinct odd primes. In the
current work, we focus on metacyclic p-group codes, as a result of which we are
also able to extend the results of [CM25] for metacyclic groups with order
divisible by any two primes, not necessarily odd or distinct. Consequently,
existing results on group algebras of some important classes of groups,
including dihedral and quaternion groups, have been extended. Additionally, we
provide left codes for the undertaken group algebras. Finally, we construct
non-central codes using units motivated by Bass and bicyclic units, which are
inequivalent to any abelian group codes and yield best known parameters.",http://arxiv.org/pdf/2511.03429v1,2511.03429v1,RA
